;S 120 Deep Blue G;S 115 Peacock B G;S 090 Dark Y G G;S 101 Yellow G;S 022 Dark Amber G;S 019 Fire G;S 106 Primary Red G;S 170 Deep Lav G;S 137 Special Lav G;S 117 Steel Blue G;S 088 Lime Green G;S 156 Chocolate G;S  652 U Sodium G;S 111 Dark Pink G;S 200 Double CTB G;S 204 Full CTO G;S 181 Congo B D;S 071 Tokyo Blue D;S 119 Dark Blue D;S 138 P Green D;S 158 Deep Orange D;S 126 Mauve D
498;5,961e-004;8,506e-004;7,558e-004;7,309e-004;2,039e-004;8,672e-005;1,418e-027;1,421e-003;1,509e-003;1,163e-003;1,004e-003;1,253e-003;5,109e-004;7,707e-004;1,263e-003;1,235e-003;8,666e-004;7,802e-004;9,077e-004;1,007e-003;7,660e-005;7,080e-004
500;5,580e-004;9,987e-004;9,224e-004;8,982e-004;2,543e-004;1,082e-004;1,401e-027;1,517e-003;1,648e-003;1,334e-003;1,197e-003;1,405e-003;6,090e-004;8,005e-004;1,382e-003;1,412e-003;9,076e-004;7,969e-004;1,048e-003;1,202e-003;8,478e-005;7,065e-004
502;5,434e-004;1,178e-003;1,117e-003;1,092e-003;3,134e-004;1,322e-004;1,383e-027;1,636e-003;1,824e-003;1,536e-003;1,416e-003;1,573e-003;7,201e-004;8,376e-004;1,541e-003;1,609e-003;9,799e-004;8,427e-004;1,222e-003;1,423e-003;9,329e-005;7,303e-004
504;5,471e-004;1,385e-003;1,334e-003;1,310e-003;3,802e-004;1,599e-004;1,361e-027;1,771e-003;2,029e-003;1,765e-003;1,659e-003;1,754e-003;8,447e-004;8,774e-004;1,736e-003;1,823e-003;1,079e-003;9,139e-004;1,425e-003;1,669e-003;1,024e-004;7,750e-004
506;5,648e-004;1,616e-003;1,576e-003;1,551e-003;4,547e-004;1,904e-004;1,341e-027;1,921e-003;2,261e-003;2,020e-003;1,924e-003;1,947e-003;9,806e-004;9,202e-004;1,959e-003;2,053e-003;1,203e-003;1,006e-003;1,654e-003;1,937e-003;1,111e-004;8,360e-004
508;5,961e-004;1,880e-003;1,849e-003;1,823e-003;5,363e-004;2,239e-004;1,316e-027;2,087e-003;2,523e-003;2,307e-003;2,221e-003;2,156e-003;1,132e-003;9,652e-004;2,218e-003;2,304e-003;1,351e-003;1,118e-003;1,917e-003;2,237e-003;1,199e-004;9,130e-004
510;6,337e-004;2,150e-003;2,126e-003;2,100e-003;6,213e-004;2,579e-004;1,292e-027;2,253e-003;2,790e-003;2,598e-003;2,519e-003;2,361e-003;1,284e-003;1,009e-003;2,486e-003;2,554e-003;1,509e-003;1,238e-003;2,187e-003;2,536e-003;1,272e-004;9,956e-004
512;6,748e-004;2,411e-003;2,393e-003;2,366e-003;7,015e-004;2,894e-004;1,272e-027;2,411e-003;3,046e-003;2,877e-003;2,805e-003;2,557e-003;1,428e-003;1,051e-003;2,745e-003;2,792e-003;1,663e-003;1,357e-003;2,446e-003;2,823e-003;1,354e-004;1,078e-003
514;7,149e-004;2,656e-003;2,642e-003;2,615e-003;7,757e-004;3,183e-004;1,250e-027;2,559e-003;3,286e-003;3,139e-003;3,071e-003;2,739e-003;1,564e-003;1,091e-003;2,989e-003;3,013e-003;1,807e-003;1,467e-003;2,687e-003;3,090e-003;1,432e-004;1,156e-003
516;7,517e-004;2,874e-003;2,864e-003;2,838e-003;8,406e-004;3,437e-004;1,228e-027;2,692e-003;3,501e-003;3,372e-003;3,307e-003;2,902e-003;1,682e-003;1,128e-003;3,207e-003;3,211e-003;1,935e-003;1,565e-003;2,902e-003;3,327e-003;1,498e-004;1,223e-003
518;7,813e-004;3,062e-003;3,054e-003;3,026e-003;8,946e-004;3,650e-004;1,207e-027;2,809e-003;3,688e-003;3,572e-003;3,511e-003;3,045e-003;1,782e-003;1,165e-003;3,394e-003;3,384e-003;2,042e-003;1,647e-003;3,084e-003;3,528e-003;1,561e-004;1,279e-003
520;8,016e-004;3,206e-003;3,199e-003;3,170e-003;9,329e-004;3,797e-004;1,183e-027;2,903e-003;3,831e-003;3,728e-003;3,668e-003;3,161e-003;1,857e-003;1,201e-003;3,538e-003;3,524e-003;2,119e-003;1,703e-003;3,219e-003;3,685e-003;1,618e-004;1,316e-003
522;8,098e-004;3,291e-003;3,285e-003;3,256e-003;9,528e-004;3,860e-004;1,162e-027;2,970e-003;3,926e-003;3,826e-003;3,769e-003;3,246e-003;1,900e-003;1,234e-003;3,624e-003;3,620e-003;2,155e-003;1,727e-003;3,295e-003;3,781e-003;1,678e-004;1,330e-003
524;8,048e-004;3,317e-003;3,311e-003;3,279e-003;9,524e-004;3,869e-004;1,145e-027;3,013e-003;3,969e-003;3,865e-003;3,810e-003;3,295e-003;1,910e-003;1,266e-003;3,651e-003;3,672e-003;2,152e-003;1,720e-003;3,310e-003;3,817e-003;1,723e-004;1,324e-003
526;7,862e-004;3,284e-003;3,277e-003;3,244e-003;9,338e-004;3,804e-004;1,130e-027;3,029e-003;3,960e-003;3,846e-003;3,792e-003;3,314e-003;1,891e-003;1,295e-003;3,622e-003;3,681e-003;2,112e-003;1,684e-003;3,267e-003;3,795e-003;1,779e-004;1,296e-003
528;7,566e-004;3,201e-003;3,193e-003;3,159e-003;9,011e-004;3,683e-004;1,118e-027;3,026e-003;3,909e-003;3,778e-003;3,724e-003;3,309e-003;1,847e-003;1,324e-003;3,542e-003;3,657e-003;2,041e-003;1,623e-003;3,173e-003;3,723e-003;1,823e-004;1,251e-003
530;7,177e-004;3,068e-003;3,061e-003;3,025e-003;8,559e-004;3,525e-004;1,108e-027;3,005e-003;3,817e-003;3,662e-003;3,608e-003;3,282e-003;1,782e-003;1,352e-003;3,414e-003;3,600e-003;1,941e-003;1,539e-003;3,031e-003;3,602e-003;1,868e-004;1,192e-003
532;6,668e-004;2,880e-003;2,873e-003;2,834e-003;7,959e-004;3,300e-004;1,098e-027;2,962e-003;3,674e-003;3,487e-003;3,433e-003;3,225e-003;1,690e-003;1,380e-003;3,228e-003;3,504e-003;1,807e-003;1,431e-003;2,834e-003;3,424e-003;1,914e-004;1,115e-003
534;6,124e-004;2,664e-003;2,656e-003;2,617e-003;7,303e-004;3,070e-004;1,091e-027;2,913e-003;3,506e-003;3,283e-003;3,229e-003;3,159e-003;1,590e-003;1,409e-003;3,016e-003;3,391e-003;1,659e-003;1,313e-003;2,610e-003;3,217e-003;1,961e-004;1,032e-003
536;5,586e-004;2,448e-003;2,440e-003;2,400e-003;6,671e-004;2,837e-004;1,087e-027;2,863e-003;3,336e-003;3,078e-003;3,024e-003;3,093e-003;1,493e-003;1,435e-003;2,804e-003;3,274e-003;1,517e-003;1,198e-003;2,389e-003;3,010e-003;1,998e-004;9,527e-004
538;5,069e-004;2,233e-003;2,226e-003;2,186e-003;6,054e-004;2,619e-004;1,084e-027;2,819e-003;3,169e-003;2,874e-003;2,821e-003;3,030e-003;1,398e-003;1,464e-003;2,594e-003;3,160e-003;1,378e-003;1,087e-003;2,172e-003;2,804e-003;2,040e-004;8,768e-004
540;4,576e-004;2,026e-003;2,019e-003;1,978e-003;5,463e-004;2,416e-004;1,083e-027;2,778e-003;3,008e-003;2,678e-003;2,624e-003;2,970e-003;1,307e-003;1,493e-003;2,391e-003;3,051e-003;1,245e-003;9,813e-004;1,962e-003;2,607e-003;2,083e-004;8,051e-004
542;4,112e-004;1,829e-003;1,824e-003;1,782e-003;4,913e-004;2,224e-004;1,081e-027;2,743e-003;2,857e-003;2,492e-003;2,440e-003;2,917e-003;1,222e-003;1,523e-003;2,200e-003;2,950e-003;1,120e-003;8,821e-004;1,766e-003;2,423e-003;2,138e-004;7,386e-004
544;3,652e-004;1,634e-003;1,629e-003;1,586e-003;4,367e-004;2,037e-004;1,219e-008;2,711e-003;2,709e-003;2,310e-003;2,257e-003;2,867e-003;1,139e-003;1,555e-003;2,010e-003;2,853e-003;9,955e-004;7,833e-004;1,569e-003;2,239e-003;2,184e-004;6,722e-004
