;M44;M43;M42;M41;M40;M39;M38;M37;M36;M35;M34;M33;M32;M31;M30;M29;M28;M27;M26;M25;M24;M23;M22;M21;M20;M19;M18;M17;M16;M15;M14;M13;M12;M11;M10;M9;M8;M7;M6;M5;M4;M3;M2;M1
512;8,994e-003;8,833e-003;4,358e-003;2,024e-004;2,275e-004;9,633e-004;9,039e-003;9,126e-003;8,967e-003;8,842e-003;4,301e-003;1,974e-004;2,389e-004;5,427e-004;7,466e-003;9,137e-003;9,004e-003;8,805e-003;4,658e-003;9,465e-005;9,118e-003;9,214e-003;9,076e-003;8,922e-003;2,592e-003;2,332e-004;2,499e-004;4,597e-003;2,220e-004;9,102e-003;2,533e-026;6,313e-003;6,028e-003;4,542e-003;6,702e-003;5,542e-003;4,184e-003;3,568e-003;1,253e-002;1,194e-002;1,098e-002;8,327e-003;7,072e-003;2,116e-003
514;9,741e-003;9,563e-003;4,708e-003;1,601e-004;1,693e-004;9,525e-004;9,719e-003;9,846e-003;9,715e-003;9,567e-003;4,654e-003;1,611e-004;1,844e-004;5,179e-004;8,004e-003;9,839e-003;9,746e-003;9,532e-003;5,030e-003;7,474e-005;9,792e-003;9,938e-003;9,824e-003;9,663e-003;2,806e-003;1,880e-004;1,926e-004;4,794e-003;1,765e-004;9,842e-003;2,490e-026;6,732e-003;6,415e-003;4,794e-003;7,147e-003;5,886e-003;4,432e-003;3,766e-003;1,336e-002;1,272e-002;1,168e-002;8,806e-003;7,456e-003;2,251e-003
516;1,035e-002;1,017e-002;5,003e-003;1,285e-004;1,271e-004;9,631e-004;1,028e-002;1,045e-002;1,034e-002;1,017e-002;4,953e-003;1,164e-004;1,488e-004;4,873e-004;8,444e-003;1,044e-002;1,036e-002;1,015e-002;5,335e-003;4,448e-005;1,037e-002;1,053e-002;1,043e-002;1,026e-002;2,966e-003;1,380e-004;1,622e-004;4,980e-003;1,418e-004;1,045e-002;2,445e-026;7,078e-003;6,744e-003;5,011e-003;7,520e-003;6,173e-003;4,635e-003;3,929e-003;1,406e-002;1,337e-002;1,226e-002;9,208e-003;7,787e-003;2,359e-003
518;1,084e-002;1,064e-002;5,226e-003;9,221e-005;9,474e-005;9,564e-004;1,071e-002;1,092e-002;1,082e-002;1,063e-002;5,158e-003;9,353e-005;1,156e-004;4,618e-004;8,776e-003;1,090e-002;1,084e-002;1,062e-002;5,570e-003;2,311e-005;1,079e-002;1,099e-002;1,091e-002;1,073e-002;3,097e-003;1,035e-004;1,368e-004;5,157e-003;1,045e-004;1,093e-002;2,404e-026;7,337e-003;7,002e-003;5,190e-003;7,811e-003;6,419e-003;4,810e-003;4,075e-003;1,462e-002;1,390e-002;1,273e-002;9,551e-003;8,071e-003;2,443e-003
520;1,112e-002;1,092e-002;5,346e-003;5,836e-005;4,979e-005;9,284e-004;1,096e-002;1,118e-002;1,109e-002;1,092e-002;5,277e-003;7,381e-005;8,959e-005;4,242e-004;8,946e-003;1,116e-002;1,112e-002;1,087e-002;5,709e-003;1,528e-005;1,102e-002;1,124e-002;1,118e-002;1,100e-002;3,157e-003;6,742e-005;8,995e-005;5,315e-003;6,417e-005;1,119e-002;2,357e-026;7,505e-003;7,165e-003;5,307e-003;7,997e-003;6,571e-003;4,936e-003;4,191e-003;1,498e-002;1,423e-002;1,305e-002;9,790e-003;8,292e-003;2,487e-003
522;1,118e-002;1,096e-002;5,362e-003;4,190e-005;3,315e-005;8,933e-004;1,098e-002;1,124e-002;1,115e-002;1,098e-002;5,290e-003;3,855e-005;6,487e-005;4,068e-004;8,971e-003;1,121e-002;1,118e-002;1,093e-002;5,719e-003;6,465e-006;1,105e-002;1,127e-002;1,123e-002;1,105e-002;3,150e-003;5,845e-005;6,424e-005;5,463e-003;4,756e-005;1,123e-002;2,315e-026;7,549e-003;7,225e-003;5,383e-003;8,070e-003;6,636e-003;4,996e-003;4,267e-003;1,511e-002;1,437e-002;1,319e-002;9,931e-003;8,424e-003;2,502e-003
524;1,102e-002;1,081e-002;5,263e-003;2,829e-005;5,952e-006;8,592e-004;1,082e-002;1,107e-002;1,100e-002;1,082e-002;5,183e-003;2,735e-005;4,689e-005;3,655e-004;8,820e-003;1,104e-002;1,103e-002;1,079e-002;5,627e-003;2,281e-026;1,087e-002;1,111e-002;1,106e-002;1,089e-002;3,105e-003;3,452e-005;4,909e-005;5,605e-003;3,059e-005;1,106e-002;2,281e-026;7,505e-003;7,193e-003;5,400e-003;8,048e-003;6,628e-003;5,030e-003;4,309e-003;1,502e-002;1,434e-002;1,318e-002;9,975e-003;8,505e-003;2,482e-003
526;1,067e-002;1,046e-002;5,090e-003;7,445e-006;2,251e-026;8,049e-004;1,047e-002;1,072e-002;1,066e-002;1,046e-002;5,005e-003;1,629e-005;2,720e-005;3,345e-004;8,517e-003;1,068e-002;1,067e-002;1,044e-002;5,437e-003;2,251e-026;1,050e-002;1,074e-002;1,071e-002;1,053e-002;2,984e-003;1,599e-005;3,013e-005;5,737e-003;1,529e-005;1,070e-002;2,251e-026;7,355e-003;7,073e-003;5,373e-003;7,927e-003;6,546e-003;5,014e-003;4,320e-003;1,476e-002;1,412e-002;1,304e-002;9,937e-003;8,529e-003;2,439e-003
528;1,016e-002;9,975e-003;4,836e-003;2,673e-006;2,227e-026;7,458e-004;9,960e-003;1,022e-002;1,016e-002;9,965e-003;4,758e-003;6,802e-006;1,814e-005;3,120e-004;8,093e-003;1,018e-002;1,018e-002;9,953e-003;5,168e-003;2,227e-026;9,982e-003;1,023e-002;1,019e-002;1,003e-002;2,818e-003;1,238e-006;2,046e-005;5,873e-003;2,227e-026;1,018e-002;2,227e-026;7,139e-003;6,895e-003;5,309e-003;7,736e-003;6,420e-003;4,966e-003;4,311e-003;1,434e-002;1,377e-002;1,279e-002;9,836e-003;8,505e-003;2,367e-003
530;9,540e-003;9,353e-003;4,526e-003;2,207e-026;2,207e-026;6,790e-004;9,342e-003;9,581e-003;9,533e-003;9,348e-003;4,453e-003;1,300e-006;3,410e-006;2,689e-004;7,572e-003;9,534e-003;9,555e-003;9,329e-003;4,830e-003;2,207e-026;9,357e-003;9,580e-003;9,558e-003;9,401e-003;2,620e-003;2,207e-026;7,650e-006;6,002e-003;2,207e-026;9,537e-003;2,207e-026;6,860e-003;6,670e-003;5,211e-003;7,484e-003;6,253e-003;4,891e-003;4,280e-003;1,380e-002;1,331e-002;1,246e-002;9,688e-003;8,440e-003;2,281e-003
