;S Clear;S 181 Congo R;S 071 Tokyo R;S 120 Deep Blue R;S 119 Dark Blue R;S 115 Peacock R;S 090 Dark Y G R;S 139 P Green R;S 101 Yellow R;S 158 Deep Orange R;S 022 Dark Amber R;S 019 Fire R;S 106 P Red R;S 126 Mauve R;S 170 Deep Lav R;S 137 Special Lav R;S 117 Steel Blue R;S 088 Lime Green R;S 156 Chocolate R;S 652 Urban Sodium R;S 111 Dark Pink R;S 200 Double CTB R;S 204 Full CTO R
468;3,346e-003;4,503e-004;5,419e-004;1,108e-003;1,498e-003;2,289e-003;4,113e-005;2,200e-006;1,464e-005;3,015e-006;8,553e-007;2,186e-005;1,914e-006;7,101e-004;1,710e-003;2,713e-003;3,188e-003;4,291e-004;3,263e-004;1,388e-004;1,382e-003;2,329e-003;7,747e-004
470;2,822e-003;3,539e-004;4,149e-004;8,963e-004;1,240e-003;1,992e-003;4,476e-005;3,139e-006;2,209e-005;1,465e-006;8,276e-007;1,893e-005;7,443e-007;5,525e-004;1,432e-003;2,264e-003;2,686e-003;4,780e-004;2,751e-004;1,379e-004;1,133e-003;1,935e-003;6,830e-004
472;2,437e-003;2,838e-004;3,248e-004;7,404e-004;1,046e-003;1,760e-003;4,781e-005;5,168e-006;3,106e-005;7,414e-007;2,250e-007;1,640e-005;5,533e-007;4,406e-004;1,227e-003;1,939e-003;2,323e-003;5,190e-004;2,377e-004;1,349e-004;9,509e-004;1,638e-003;6,128e-004
474;2,102e-003;2,256e-004;2,527e-004;6,113e-004;8,781e-004;1,548e-003;5,146e-005;7,032e-006;4,132e-005;1,836e-007;1,500e-027;1,404e-005;4,771e-007;3,506e-004;1,049e-003;1,661e-003;2,014e-003;5,536e-004;2,060e-004;1,317e-004;7,967e-004;1,384e-003;5,497e-004
476;1,797e-003;1,765e-004;1,932e-004;4,968e-004;7,271e-004;1,346e-003;5,521e-005;9,318e-006;5,353e-005;8,857e-008;1,497e-027;1,220e-005;1,497e-027;2,743e-004;8,883e-004;1,409e-003;1,733e-003;5,755e-004;1,784e-004;1,260e-004;6,609e-004;1,157e-003;4,888e-004
478;1,543e-003;1,366e-004;1,466e-004;4,020e-004;6,024e-004;1,172e-003;5,894e-005;1,119e-005;6,846e-005;1,500e-027;1,500e-027;9,845e-006;1,500e-027;2,133e-004;7,535e-004;1,197e-003;1,495e-003;5,908e-004;1,554e-004;1,192e-004;5,496e-004;9,712e-004;4,369e-004
480;1,343e-003;1,059e-004;1,112e-004;3,255e-004;5,025e-004;1,032e-003;6,451e-005;1,311e-005;8,521e-005;1,501e-027;1,501e-027;8,415e-006;1,501e-027;1,671e-004;6,440e-004;1,024e-003;1,304e-003;6,032e-004;1,370e-004;1,125e-004;4,620e-004;8,241e-004;3,959e-004
482;1,195e-003;8,201e-005;8,429e-005;2,648e-004;4,252e-004;9,267e-004;7,078e-005;1,815e-005;1,075e-004;1,501e-027;1,501e-027;7,917e-006;1,501e-027;1,293e-004;5,607e-004;8,930e-004;1,158e-003;6,195e-004;1,256e-004;1,077e-004;3,955e-004;7,136e-004;3,653e-004
484;1,101e-003;6,536e-005;6,521e-005;2,193e-004;3,691e-004;8,600e-004;8,135e-005;2,417e-005;1,352e-004;1,497e-027;1,497e-027;7,242e-006;1,497e-027;1,039e-004;5,020e-004;7,991e-004;1,060e-003;6,470e-004;1,183e-004;1,042e-004;3,504e-004;6,411e-004;3,496e-004
486;1,063e-003;5,493e-005;5,245e-005;1,901e-004;3,348e-004;8,371e-004;9,388e-005;3,273e-005;1,666e-004;1,493e-027;1,493e-027;6,884e-006;1,493e-027;8,603e-005;4,719e-004;7,493e-004;1,012e-003;6,851e-004;1,162e-004;1,042e-004;3,253e-004;6,023e-004;3,482e-004
