;S Clear;S 181 Congo R;S 071 Tokyo R;S 120 Deep Blue R;S 119 Dark Blue R;S 115 Peacock R;S 090 Dark Y G R;S 139 P Green R;S 101 Yellow R;S 158 Deep Orange R;S 022 Dark Amber R;S 019 Fire R;S 106 P Red R;S 126 Mauve R;S 170 Deep Lav R;S 137 Special Lav R;S 117 Steel Blue R;S 088 Lime Green R;S 156 Chocolate R;S 652 Urban Sodium R;S 111 Dark Pink R;S 200 Double CTB R;S 204 Full CTO R
696;6,316e-004;1,076e-004;5,000e-007;5,776e-005;2,615e-005;1,651e-005;3,557e-027;3,557e-027;6,103e-004;6,022e-004;5,972e-004;6,106e-004;5,444e-004;5,821e-004;5,872e-004;6,067e-004;3,038e-004;3,513e-004;3,815e-004;4,152e-004;6,066e-004;1,319e-004;6,374e-004
698;5,978e-004;1,185e-004;1,587e-006;6,953e-005;3,297e-005;2,049e-005;3,635e-027;3,635e-027;5,785e-004;5,732e-004;5,636e-004;5,794e-004;5,194e-004;5,555e-004;5,536e-004;5,688e-004;3,039e-004;3,506e-004;3,810e-004;4,038e-004;5,747e-004;1,392e-004;6,046e-004
700;5,645e-004;1,315e-004;1,071e-006;8,081e-005;4,049e-005;2,200e-005;3,719e-027;3,719e-027;5,483e-004;5,429e-004;5,328e-004;5,485e-004;4,948e-004;5,276e-004;5,219e-004;5,376e-004;3,014e-004;3,464e-004;3,774e-004;3,904e-004;5,428e-004;1,480e-004;5,744e-004
702;5,275e-004;1,429e-004;5,234e-006;9,411e-005;5,041e-005;2,660e-005;3,811e-027;3,722e-007;5,156e-004;5,125e-004;5,000e-004;5,111e-004;4,689e-004;4,969e-004;4,892e-004;5,014e-004;2,947e-004;3,384e-004;3,692e-004;3,759e-004;5,097e-004;1,535e-004;5,385e-004
704;4,964e-004;1,510e-004;5,937e-006;1,027e-004;5,836e-005;3,022e-005;3,895e-027;3,006e-006;4,863e-004;4,822e-004;4,733e-004;4,824e-004;4,429e-004;4,726e-004;4,620e-004;4,715e-004;2,886e-004;3,304e-004;3,614e-004;3,625e-004;4,808e-004;1,597e-004;5,089e-004
706;4,688e-004;1,590e-004;7,298e-006;1,134e-004;6,537e-005;3,382e-005;4,441e-007;4,221e-006;4,598e-004;4,553e-004;4,498e-004;4,556e-004;4,196e-004;4,484e-004;4,357e-004;4,433e-004;2,813e-004;3,188e-004;3,527e-004;3,495e-004;4,566e-004;1,629e-004;4,806e-004
708;4,408e-004;1,643e-004;1,088e-005;1,231e-004;7,083e-005;3,720e-005;2,707e-006;5,144e-006;4,351e-004;4,306e-004;4,237e-004;4,272e-004;3,981e-004;4,227e-004;4,118e-004;4,187e-004;2,754e-004;3,086e-004;3,418e-004;3,364e-004;4,289e-004;1,635e-004;4,516e-004
710;4,114e-004;1,699e-004;1,654e-005;1,310e-004;8,025e-005;4,002e-005;6,012e-006;6,213e-006;4,075e-004;4,002e-004;3,951e-004;3,950e-004;3,736e-004;3,973e-004;3,849e-004;3,871e-004;2,616e-004;2,944e-004;3,264e-004;3,179e-004;4,032e-004;1,649e-004;4,212e-004
712;3,858e-004;1,713e-004;1,897e-005;1,367e-004;8,563e-005;4,665e-005;8,545e-006;4,349e-006;3,849e-004;3,768e-004;3,762e-004;3,714e-004;3,539e-004;3,754e-004;3,653e-004;3,686e-004;2,527e-004;2,841e-004;3,163e-004;3,069e-004;3,824e-004;1,652e-004;3,953e-004
714;3,628e-004;1,739e-004;2,065e-005;1,392e-004;9,078e-005;4,661e-005;1,019e-005;4,860e-006;3,619e-004;3,568e-004;3,553e-004;3,514e-004;3,374e-004;3,546e-004;3,451e-004;3,450e-004;2,448e-004;2,719e-004;3,045e-004;2,913e-004;3,631e-004;1,638e-004;3,724e-004
716;3,405e-004;1,728e-004;2,241e-005;1,406e-004;9,466e-005;4,897e-005;1,058e-005;1,036e-005;3,393e-004;3,369e-004;3,368e-004;3,312e-004;3,203e-004;3,351e-004;3,266e-004;3,259e-004;2,342e-004;2,611e-004;2,896e-004;2,786e-004;3,406e-004;1,621e-004;3,516e-004
718;3,152e-004;1,734e-004;2,863e-005;1,439e-004;9,619e-005;5,127e-005;1,496e-005;9,077e-006;3,164e-004;3,164e-004;3,193e-004;3,091e-004;2,996e-004;3,148e-004;3,027e-004;3,033e-004;2,207e-004;2,479e-004;2,755e-004;2,646e-004;3,210e-004;1,620e-004;3,264e-004
720;2,962e-004;1,699e-004;3,240e-005;1,413e-004;9,701e-005;5,217e-005;1,792e-005;1,054e-005;2,965e-004;2,970e-004;3,050e-004;2,903e-004;2,821e-004;2,958e-004;2,892e-004;2,856e-004;2,116e-004;2,371e-004;2,623e-004;2,523e-004;3,025e-004;1,558e-004;3,037e-004
722;2,780e-004;1,665e-004;3,308e-005;1,431e-004;9,882e-005;5,478e-005;2,094e-005;1,152e-005;2,800e-004;2,811e-004;2,874e-004;2,718e-004;2,646e-004;2,795e-004;2,747e-004;2,669e-004;1,987e-004;2,256e-004;2,517e-004;2,398e-004;2,876e-004;1,509e-004;2,860e-004
724;2,587e-004;1,630e-004;3,448e-005;1,401e-004;9,974e-005;5,458e-005;2,486e-005;1,305e-005;2,615e-004;2,659e-004;2,762e-004;2,566e-004;2,508e-004;2,614e-004;2,591e-004;2,508e-004;1,899e-004;2,158e-004;2,398e-004;2,279e-004;2,708e-004;1,473e-004;2,708e-004
726;2,401e-004;1,609e-004;3,843e-005;1,406e-004;9,831e-005;5,378e-005;2,741e-005;1,043e-005;2,450e-004;2,491e-004;2,534e-004;2,426e-004;2,388e-004;2,478e-004;2,425e-004;2,387e-004;1,759e-004;2,037e-004;2,268e-004;2,175e-004;2,534e-004;1,424e-004;2,524e-004
728;2,244e-004;1,553e-004;3,935e-005;1,387e-004;9,615e-005;5,435e-005;2,743e-005;1,030e-005;2,265e-004;2,352e-004;2,399e-004;2,272e-004;2,218e-004;2,295e-004;2,281e-004;2,221e-004;1,662e-004;1,928e-004;2,116e-004;2,073e-004;2,366e-004;1,359e-004;2,379e-004
730;2,092e-004;1,507e-004;3,863e-005;1,320e-004;9,722e-005;5,241e-005;3,007e-005;1,225e-005;2,139e-004;2,217e-004;2,247e-004;2,148e-004;2,111e-004;2,140e-004;2,164e-004;2,093e-004;1,528e-004;1,837e-004;1,997e-004;1,944e-004;2,227e-004;1,313e-004;2,195e-004
732;1,944e-004;1,404e-004;3,992e-005;1,271e-004;9,742e-005;5,174e-005;3,274e-005;1,218e-005;2,022e-004;2,089e-004;2,161e-004;2,057e-004;1,985e-004;2,009e-004;2,018e-004;1,959e-004;1,451e-004;1,701e-004;1,897e-004;1,866e-004;2,128e-004;1,206e-004;2,115e-004
734;1,791e-004;1,389e-004;3,947e-005;1,223e-004;9,461e-005;5,501e-005;3,205e-005;1,290e-005;1,886e-004;1,936e-004;1,987e-004;1,889e-004;1,808e-004;1,843e-004;1,915e-004;1,822e-004;1,346e-004;1,638e-004;1,793e-004;1,776e-004;1,991e-004;1,120e-004;1,955e-004
736;1,645e-004;1,331e-004;4,514e-005;1,158e-004;9,401e-005;5,167e-005;3,218e-005;1,355e-005;1,768e-004;1,846e-004;1,854e-004;1,802e-004;1,722e-004;1,725e-004;1,769e-004;1,693e-004;1,219e-004;1,493e-004;1,683e-004;1,716e-004;1,861e-004;1,058e-004;1,861e-004
738;1,538e-004;1,260e-004;4,201e-005;1,114e-004;8,992e-005;5,106e-005;3,300e-005;1,274e-005;1,651e-004;1,726e-004;1,685e-004;1,693e-004;1,617e-004;1,597e-004;1,665e-004;1,557e-004;1,161e-004;1,442e-004;1,621e-004;1,596e-004;1,724e-004;9,905e-005;1,749e-004
740;1,422e-004;1,211e-004;4,531e-005;1,053e-004;8,418e-005;5,304e-005;3,859e-005;1,347e-005;1,550e-004;1,618e-004;1,590e-004;1,581e-004;1,491e-004;1,510e-004;1,591e-004;1,465e-004;1,081e-004;1,356e-004;1,494e-004;1,558e-004;1,654e-004;9,446e-005;1,683e-004
742;1,285e-004;1,185e-004;4,053e-005;1,001e-004;8,102e-005;4,870e-005;3,333e-005;1,558e-005;1,406e-004;1,528e-004;1,435e-004;1,483e-004;1,399e-004;1,406e-004;1,480e-004;1,349e-004;1,001e-004;1,229e-004;1,437e-004;1,449e-004;1,536e-004;7,945e-005;1,553e-004
744;1,176e-004;1,105e-004;4,220e-005;8,762e-005;7,703e-005;4,435e-005;3,678e-005;1,581e-005;1,345e-004;1,407e-004;1,392e-004;1,385e-004;1,315e-004;1,267e-004;1,349e-004;1,229e-004;8,528e-005;1,090e-004;1,374e-004;1,395e-004;1,404e-004;7,446e-005;1,487e-004
746;1,065e-004;1,081e-004;4,105e-005;8,419e-005;6,778e-005;4,271e-005;3,624e-005;1,362e-005;1,258e-004;1,312e-004;1,259e-004;1,334e-004;1,228e-004;1,168e-004;1,245e-004;1,118e-004;7,912e-005;1,030e-004;1,268e-004;1,306e-004;1,322e-004;7,128e-005;1,420e-004
748;9,697e-005;1,000e-004;3,992e-005;7,710e-005;6,716e-005;4,201e-005;3,469e-005;1,655e-005;1,095e-004;1,251e-004;1,188e-004;1,260e-004;1,100e-004;1,092e-004;1,171e-004;1,065e-004;7,264e-005;9,248e-005;1,200e-004;1,223e-004;1,214e-004;6,231e-005;1,324e-004
750;8,541e-005;8,954e-005;3,756e-005;7,061e-005;6,349e-005;3,547e-005;3,237e-005;1,550e-005;1,037e-004;1,131e-004;1,074e-004;1,142e-004;1,026e-004;9,560e-005;1,071e-004;8,869e-005;6,122e-005;8,209e-005;1,142e-004;1,152e-004;1,104e-004;5,522e-005;1,237e-004
752;7,716e-005;9,061e-005;3,782e-005;6,686e-005;5,437e-005;3,220e-005;3,645e-005;1,343e-005;9,872e-005;1,071e-004;9,769e-005;1,092e-004;9,782e-005;8,945e-005;9,743e-005;7,743e-005;5,257e-005;7,305e-005;1,072e-004;1,076e-004;1,033e-004;4,744e-005;1,175e-004
754;6,949e-005;8,304e-005;3,531e-005;6,248e-005;5,207e-005;3,103e-005;3,226e-005;1,720e-005;8,995e-005;9,866e-005;8,883e-005;1,030e-004;9,001e-005;8,394e-005;8,750e-005;6,762e-005;4,590e-005;6,737e-005;9,822e-005;1,018e-004;9,257e-005;4,061e-005;1,132e-004
756;6,147e-005;7,883e-005;2,953e-005;5,854e-005;4,674e-005;2,177e-005;2,588e-005;1,355e-005;8,462e-005;9,232e-005;8,500e-005;9,211e-005;8,384e-005;7,576e-005;8,075e-005;6,521e-005;3,916e-005;5,393e-005;9,869e-005;9,797e-005;9,081e-005;3,678e-005;1,028e-004
758;5,030e-005;7,636e-005;2,836e-005;5,023e-005;3,323e-005;2,379e-005;2,017e-005;1,357e-005;7,070e-005;8,011e-005;7,217e-005;8,603e-005;7,709e-005;6,495e-005;7,143e-005;5,255e-005;3,324e-005;4,215e-005;8,948e-005;8,828e-005;8,019e-005;2,793e-005;9,486e-005
760;4,581e-005;6,489e-005;2,349e-005;4,842e-005;3,393e-005;1,479e-005;2,025e-005;1,535e-005;6,463e-005;7,528e-005;6,963e-005;7,725e-005;6,910e-005;6,551e-005;6,372e-005;4,071e-005;2,302e-005;3,549e-005;8,398e-005;8,050e-005;7,190e-005;2,003e-005;8,606e-005
762;3,959e-005;6,317e-005;2,538e-005;4,729e-005;2,472e-005;9,306e-006;1,938e-005;1,696e-005;5,904e-005;6,881e-005;5,815e-005;6,594e-005;6,631e-005;5,670e-005;5,202e-005;3,711e-005;1,327e-005;3,330e-005;7,924e-005;7,193e-005;6,448e-005;1,043e-005;7,808e-005
764;2,845e-005;5,905e-005;1,310e-005;3,693e-005;1,842e-005;7,804e-006;1,296e-005;1,386e-005;4,819e-005;5,957e-005;4,901e-005;5,814e-005;6,050e-005;5,485e-005;4,345e-005;1,989e-005;1,021e-005;1,753e-005;7,111e-005;7,187e-005;5,656e-005;2,653e-006;7,000e-005
766;1,879e-005;4,919e-005;2,050e-005;3,933e-005;1,097e-005;2,203e-006;7,786e-006;1,255e-005;3,967e-005;5,516e-005;4,414e-005;5,471e-005;5,469e-005;4,579e-005;3,703e-005;1,238e-005;1,407e-006;7,136e-006;7,424e-005;5,643e-005;4,842e-005;1,187e-026;6,219e-005
768;9,238e-006;5,024e-005;1,445e-005;3,615e-005;8,107e-006;1,252e-026;3,710e-006;1,361e-005;3,153e-005;4,407e-005;3,705e-005;4,844e-005;5,220e-005;4,495e-005;2,539e-005;6,467e-006;1,252e-026;2,448e-006;6,755e-005;5,015e-005;4,009e-005;1,252e-026;5,735e-005
770;2,089e-006;4,831e-005;1,075e-005;2,942e-005;5,468e-007;1,321e-026;3,570e-006;1,306e-005;2,062e-005;3,668e-005;3,265e-005;4,635e-005;4,655e-005;3,838e-005;1,889e-005;2,216e-006;1,321e-026;1,321e-026;6,441e-005;4,785e-005;3,812e-005;1,321e-026;4,533e-005
772;1,401e-026;4,119e-005;6,662e-006;2,186e-005;1,401e-026;1,401e-026;4,485e-007;8,853e-006;1,315e-005;3,101e-005;3,397e-005;4,461e-005;4,690e-005;4,013e-005;2,090e-005;1,401e-026;1,401e-026;1,401e-026;5,892e-005;4,676e-005;2,771e-005;1,401e-026;3,138e-005
774;1,487e-026;3,355e-005;7,889e-006;1,669e-005;1,487e-026;1,487e-026;1,487e-026;6,560e-006;8,410e-006;2,549e-005;2,880e-005;2,986e-005;2,912e-005;3,932e-005;7,015e-006;1,487e-026;1,487e-026;1,487e-026;5,312e-005;3,382e-005;1,790e-005;1,487e-026;2,937e-005
776;1,575e-026;2,804e-005;1,575e-026;1,059e-005;1,575e-026;1,575e-026;1,575e-026;8,701e-006;3,948e-006;1,593e-005;2,276e-005;2,476e-005;3,020e-005;3,597e-005;3,293e-006;1,575e-026;1,575e-026;1,575e-026;5,290e-005;3,000e-005;1,211e-005;1,575e-026;3,063e-005
778;1,670e-026;2,731e-005;1,670e-026;2,399e-006;1,670e-026;1,670e-026;1,670e-026;4,265e-006;1,670e-026;1,411e-005;2,187e-005;1,443e-005;2,020e-005;3,073e-005;1,670e-026;1,670e-026;1,670e-026;1,670e-026;4,207e-005;1,741e-005;5,495e-006;1,670e-026;1,924e-005
780;1,789e-026;2,255e-005;1,789e-026;1,001e-007;1,789e-026;1,789e-026;1,789e-026;5,432e-007;1,789e-026;2,079e-007;1,097e-005;1,134e-005;2,249e-005;2,336e-005;1,789e-026;1,789e-026;1,789e-026;1,789e-026;4,246e-005;1,724e-005;3,691e-008;1,789e-026;1,580e-006
