;M41;M40;M39;M38;M37;M36;M35;M34;M33;M32;M31;M30;M29;M28;M27;M26;M25;M24;M23;M22;M21;M20;M19;M18;M17;M16;M15;M14;M13;M12;M11;M10;M9;M8;M7;M6
448;2,530e-003;1,072e-003;9,585e-004;1,055e-004;1,341e-003;3,989e-003;1,124e-002;2,279e-002;4,173e-002;7,314e-002;1,354e-001;1,373e-001;1,375e-001;1,375e-001;6,962e-002;2,404e-002;8,845e-004;7,841e-004;2,306e-004;2,510e-004;3,559e-003;1,391e-001;8,260e-004;2,769e-026;9,093e-004;2,769e-026;6,903e-002;3,581e-002;2,787e-002;1,192e-002;1,599e-003;1,329e-001;7,675e-002;6,051e-002;2,512e-002;3,315e-003
450;2,328e-003;9,789e-004;9,069e-004;1,026e-004;1,322e-003;3,725e-003;1,028e-002;2,084e-002;3,829e-002;6,795e-002;1,349e-001;1,361e-001;1,363e-001;1,364e-001;6,439e-002;2,220e-002;1,225e-003;1,082e-003;3,242e-004;3,735e-004;3,335e-003;1,372e-001;1,161e-003;2,798e-026;8,130e-004;2,798e-026;6,340e-002;3,265e-002;2,544e-002;1,087e-002;1,523e-003;1,326e-001;7,260e-002;5,699e-002;2,332e-002;3,150e-003
452;2,079e-003;8,393e-004;7,997e-004;9,170e-005;1,198e-003;3,275e-003;8,938e-003;1,808e-002;3,332e-002;5,962e-002;1,269e-001;1,269e-001;1,269e-001;1,273e-001;5,657e-002;1,973e-002;1,681e-003;1,486e-003;4,778e-004;5,337e-004;3,033e-003;1,265e-001;1,608e-003;2,831e-026;6,936e-004;2,831e-026;5,521e-002;2,838e-002;2,215e-002;9,467e-003;1,368e-003;1,254e-001;6,516e-002;5,102e-002;2,066e-002;2,839e-003
454;1,797e-003;6,907e-004;6,845e-004;6,302e-005;1,027e-003;2,738e-003;7,412e-003;1,501e-002;2,773e-002;4,985e-002;1,099e-001;1,083e-001;1,081e-001;1,089e-001;4,787e-002;1,721e-002;2,301e-003;2,020e-003;6,925e-004;7,339e-004;2,707e-003;1,062e-001;2,225e-003;2,868e-026;5,640e-004;2,868e-026;4,613e-002;2,380e-002;1,861e-002;7,981e-003;1,161e-003;1,101e-001;5,593e-002;4,386e-002;1,765e-002;2,448e-003
456;1,530e-003;5,502e-004;5,076e-004;6,711e-005;7,925e-004;2,154e-003;5,875e-003;1,186e-002;2,196e-002;3,944e-002;8,601e-002;8,365e-002;8,340e-002;8,441e-002;3,909e-002;1,493e-002;3,182e-003;2,777e-003;9,998e-004;1,036e-003;2,338e-003;8,100e-002;3,089e-003;1,221e-006;4,271e-004;2,899e-026;3,693e-002;1,925e-002;1,511e-002;6,509e-003;9,346e-004;8,841e-002;4,581e-002;3,611e-002;1,455e-002;2,021e-003
458;1,321e-003;4,367e-004;4,247e-004;4,117e-005;6,199e-004;1,716e-003;4,677e-003;9,482e-003;1,754e-002;3,145e-002;6,685e-002;6,471e-002;6,447e-002;6,566e-002;3,292e-002;1,366e-002;4,316e-003;3,752e-003;1,381e-003;1,427e-003;2,069e-003;6,241e-002;4,202e-003;1,419e-005;3,381e-004;2,928e-026;3,023e-002;1,597e-002;1,259e-002;5,466e-003;7,500e-004;7,088e-002;3,808e-002;3,018e-002;1,226e-002;1,669e-003
460;1,162e-003;3,479e-004;3,188e-004;5,125e-005;4,831e-004;1,387e-003;3,783e-003;7,675e-003;1,417e-002;2,538e-002;5,303e-002;5,126e-002;5,107e-002;5,251e-002;2,890e-002;1,333e-002;5,739e-003;5,020e-003;1,892e-003;1,930e-003;1,869e-003;4,945e-002;5,633e-003;2,851e-005;2,717e-004;2,956e-026;2,546e-002;1,369e-002;1,085e-002;4,774e-003;6,357e-004;5,846e-002;3,250e-002;2,594e-002;1,068e-002;1,464e-003
462;1,069e-003;2,963e-004;2,651e-004;2,283e-005;3,896e-004;1,114e-003;3,072e-003;6,234e-003;1,154e-002;2,064e-002;4,267e-002;4,128e-002;4,113e-002;4,292e-002;2,642e-002;1,375e-002;7,564e-003;6,628e-003;2,556e-003;2,603e-003;1,739e-003;3,982e-002;7,480e-003;5,789e-005;2,287e-004;2,973e-026;2,204e-002;1,214e-002;9,693e-003;4,334e-003;5,470e-004;4,974e-002;2,858e-002;2,301e-002;9,675e-003;1,340e-003
464;1,013e-003;2,720e-004;2,187e-004;1,532e-005;3,294e-004;9,120e-004;2,501e-003;5,100e-003;9,434e-003;1,684e-002;3,474e-002;3,357e-002;3,343e-002;3,574e-002;2,535e-002;1,496e-002;9,904e-003;8,690e-003;3,402e-003;3,436e-003;1,648e-003;3,235e-002;9,848e-003;9,709e-005;1,903e-004;2,989e-026;1,974e-002;1,120e-002;9,010e-003;4,111e-003;4,868e-004;4,385e-002;2,610e-002;2,121e-002;9,136e-003;1,277e-003
466;9,760e-004;2,373e-004;1,698e-004;6,890e-006;2,498e-004;7,312e-004;2,031e-003;4,134e-003;7,654e-003;1,370e-002;2,828e-002;2,726e-002;2,714e-002;3,010e-002;2,547e-002;1,696e-002;1,285e-002;1,130e-002;4,477e-003;4,523e-003;1,617e-003;2,620e-002;1,287e-002;1,469e-004;1,539e-004;3,000e-026;1,829e-002;1,075e-002;8,733e-003;4,083e-003;4,401e-004;3,995e-002;2,474e-002;2,029e-002;9,012e-003;1,268e-003
468;9,631e-004;2,055e-004;1,432e-004;1,857e-007;1,844e-004;5,837e-004;1,609e-003;3,324e-003;6,142e-003;1,100e-002;2,283e-002;2,194e-002;2,184e-002;2,563e-002;2,671e-002;1,980e-002;1,650e-002;1,452e-002;5,844e-003;5,903e-003;1,603e-003;2,101e-002;1,660e-002;2,167e-004;1,523e-004;3,000e-026;1,760e-002;1,077e-002;8,843e-003;4,241e-003;3,979e-004;3,761e-002;2,434e-002;2,019e-002;9,248e-003;1,282e-003
470;9,599e-004;1,694e-004;1,259e-004;2,992e-026;1,383e-004;4,462e-004;1,255e-003;2,571e-003;4,782e-003;8,587e-003;1,782e-002;1,709e-002;1,699e-002;2,199e-002;2,959e-002;2,412e-002;2,158e-002;1,905e-002;7,791e-003;7,840e-003;1,616e-003;1,630e-002;2,181e-002;3,297e-004;1,296e-004;2,992e-026;1,783e-002;1,140e-002;9,453e-003;4,634e-003;3,880e-004;3,690e-002;2,509e-002;2,107e-002;1,000e-002;1,404e-003
472;9,714e-004;1,731e-004;1,035e-004;2,986e-026;9,538e-005;3,537e-004;9,899e-004;2,048e-003;3,804e-003;6,838e-003;1,424e-002;1,362e-002;1,354e-002;1,990e-002;3,368e-002;2,921e-002;2,719e-002;2,406e-002;9,966e-003;1,001e-002;1,658e-003;1,298e-002;2,761e-002;4,514e-004;1,133e-004;2,986e-026;1,898e-002;1,257e-002;1,050e-002;5,253e-003;4,033e-004;3,802e-002;2,696e-002;2,285e-002;1,118e-002;1,582e-003
474;1,035e-003;1,845e-004;8,208e-005;2,988e-026;7,822e-005;2,575e-004;7,805e-004;1,649e-003;3,053e-003;5,486e-003;1,146e-002;1,094e-002;1,089e-002;1,884e-002;3,918e-002;3,545e-002;3,387e-002;3,006e-002;1,258e-002;1,263e-002;1,757e-003;1,042e-002;3,449e-002;6,162e-004;1,223e-004;2,988e-026;2,102e-002;1,432e-002;1,203e-002;6,117e-003;4,275e-004;4,079e-002;2,996e-002;2,559e-002;1,282e-002;1,819e-003
476;1,114e-003;2,014e-004;7,009e-005;2,983e-026;4,812e-005;2,025e-004;6,401e-004;1,328e-003;2,464e-003;4,421e-003;9,245e-003;8,832e-003;8,780e-003;1,858e-002;4,575e-002;4,260e-002;4,137e-002;3,680e-002;1,553e-002;1,562e-002;1,905e-003;8,411e-003;4,221e-002;8,230e-004;1,258e-004;2,983e-026;2,374e-002;1,652e-002;1,391e-002;7,150e-003;4,876e-004;4,485e-002;3,383e-002;2,908e-002;1,485e-002;2,135e-003
478;1,259e-003;2,210e-004;8,226e-005;2,987e-026;4,047e-005;1,497e-004;5,155e-004;1,091e-003;2,007e-003;3,599e-003;7,534e-003;7,211e-003;7,148e-003;1,899e-002;5,336e-002;5,066e-002;4,970e-002;4,432e-002;1,886e-002;1,894e-002;2,145e-003;6,857e-003;5,076e-002;1,096e-003;1,453e-004;2,987e-026;2,709e-002;1,913e-002;1,616e-002;8,383e-003;5,848e-004;5,019e-002;3,863e-002;3,333e-002;1,726e-002;2,523e-003
480;1,454e-003;2,869e-004;8,890e-005;2,991e-026;8,700e-006;1,157e-004;4,123e-004;9,153e-004;1,624e-003;2,943e-003;6,160e-003;5,914e-003;5,852e-003;1,979e-002;6,150e-002;5,912e-002;5,844e-002;5,224e-002;2,236e-002;2,246e-002;2,443e-003;5,605e-003;5,964e-002;1,430e-003;1,677e-004;2,991e-026;3,077e-002;2,199e-002;1,862e-002;9,722e-003;6,985e-004;5,629e-002;4,395e-002;3,804e-002;1,990e-002;2,956e-003
482;1,708e-003;3,584e-004;1,031e-004;2,991e-026;1,608e-005;9,521e-005;3,247e-004;7,513e-004;1,334e-003;2,390e-003;4,993e-003;4,760e-003;4,734e-003;2,083e-002;6,990e-002;6,779e-002;6,737e-002;6,038e-002;2,601e-002;2,613e-002;2,878e-003;4,544e-003;6,861e-002;1,888e-003;2,144e-004;2,991e-026;3,462e-002;2,495e-002;2,116e-002;1,111e-002;8,761e-004;6,290e-002;4,965e-002;4,309e-002;2,269e-002;3,438e-003
