;O Clear;O 181 Congo R;O 71 Tokyo Blue R;O 120 Deep Blue R;O 119 Dark Blue R;O 115 Peacock R;O 090 Dark Y G R;O 139 P Green R;O 101 Yellow R;O 158 Deep Orange R;O 022 Dark Amber R;O 019 Fire R;O 106 P Red R;O 126 Mauve R;O 170 Deep Lav R;O 137 Special Lav R;O 117 Steel Blue R;O 088 Lime Green R;O 156 Chocoloate R;O 652 U Sodium R;O 111 Dark Pink R;O 200 Double CTB R;O 204 Full CTO R;O 180 Dark Lav R;O 174 Dark Steel B R
558;3,02E-03;1,11E-27;1,11E-27;1,11E-27;6,65E-06;1,06E-03;3,48E-04;4,57E-04;2,60E-03;7,87E-04;2,51E-04;2,83E-05;1,11E-27;1,11E-27;4,41E-04;5,11E-04;1,83E-03;2,49E-03;5,66E-04;3,93E-04;3,56E-04;2,18E-04;1,78E-03;5,49E-05;8,37E-04
560;3,01E-03;1,12E-27;1,12E-27;1,12E-27;4,58E-06;9,77E-04;3,08E-04;4,01E-04;2,61E-03;8,46E-04;2,52E-04;2,66E-05;1,12E-27;1,12E-27;4,27E-04;4,90E-04;1,79E-03;2,44E-03;5,44E-04;4,07E-04;3,60E-04;2,03E-04;1,79E-03;5,21E-05;7,94E-04
562;3,00E-03;1,13E-27;1,13E-27;1,13E-27;3,33E-06;8,93E-04;2,70E-04;3,47E-04;2,60E-03;9,04E-04;2,54E-04;2,60E-05;1,13E-27;1,13E-27;4,14E-04;4,73E-04;1,73E-03;2,39E-03;5,27E-04;4,23E-04;3,71E-04;1,92E-04;1,80E-03;4,96E-05;7,50E-04
564;2,98E-03;1,14E-27;1,14E-27;1,14E-27;1,93E-06;8,11E-04;2,33E-04;2,97E-04;2,59E-03;9,60E-04;2,60E-04;2,68E-05;1,14E-27;1,14E-27;4,03E-04;4,58E-04;1,67E-03;2,33E-03;5,16E-04;4,45E-04;3,88E-04;1,84E-04;1,81E-03;4,74E-05;7,07E-04
566;2,96E-03;1,15E-27;1,15E-27;1,15E-27;1,05E-06;7,30E-04;1,99E-04;2,49E-04;2,58E-03;1,02E-03;2,72E-04;2,87E-05;5,01E-07;1,15E-27;3,94E-04;4,44E-04;1,60E-03;2,27E-03;5,10E-04;4,74E-04;4,13E-04;1,77E-04;1,81E-03;4,60E-05;6,62E-04
568;2,92E-03;1,16E-27;1,16E-27;1,16E-27;3,64E-07;6,50E-04;1,67E-04;2,06E-04;2,55E-03;1,07E-03;2,93E-04;3,21E-05;1,03E-07;1,16E-27;3,88E-04;4,34E-04;1,53E-03;2,20E-03;5,12E-04;5,10E-04;4,50E-04;1,73E-04;1,80E-03;4,54E-05;6,19E-04
570;2,89E-03;1,17E-27;1,17E-27;1,17E-27;1,17E-27;5,82E-04;1,41E-04;1,72E-04;2,53E-03;1,12E-03;3,20E-04;3,87E-05;3,08E-07;1,17E-27;3,87E-04;4,29E-04;1,47E-03;2,15E-03;5,20E-04;5,52E-04;4,93E-04;1,73E-04;1,80E-03;4,49E-05;5,84E-04
572;2,86E-03;1,19E-27;1,19E-27;1,19E-27;1,19E-27;5,18E-04;1,19E-04;1,41E-04;2,50E-03;1,17E-03;3,57E-04;4,77E-05;5,70E-07;1,19E-27;3,89E-04;4,27E-04;1,40E-03;2,09E-03;5,34E-04;5,99E-04;5,46E-04;1,74E-04;1,80E-03;4,59E-05;5,52E-04
574;2,83E-03;1,20E-27;1,20E-27;1,20E-27;1,20E-27;4,60E-04;9,93E-05;1,16E-04;2,48E-03;1,21E-03;4,03E-04;6,14E-05;1,18E-06;1,20E-27;3,93E-04;4,29E-04;1,35E-03;2,05E-03;5,54E-04;6,52E-04;6,09E-04;1,78E-04;1,80E-03;4,60E-05;5,26E-04
576;2,79E-03;1,22E-27;1,22E-27;1,22E-27;1,22E-27;4,08E-04;8,23E-05;9,46E-05;2,45E-03;1,25E-03;4,61E-04;8,06E-05;1,65E-06;1,22E-27;4,01E-04;4,32E-04;1,29E-03;2,00E-03;5,80E-04;7,09E-04;6,83E-04;1,83E-04;1,80E-03;4,72E-05;5,03E-04
